                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6258,                 3.6244,                 1.3808,                0.31309,                0.03571,                0.02689,                0.01461,                 1.5742,                 4.1486,                 1.3987,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.6203,                 3.7418,                 1.4218,                0.57366,                0.04762,                0.07371,                0.03565,                 1.5476,                 4.0621,                 1.3755,             5.9941e-05,             5.9941e-05,             5.9941e-05
                      3,                  1.633,                 3.7258,                 1.4011,                0.79022,                   0.09,                0.09193,                0.05418,                  1.524,                 3.9545,                 1.3581,             9.9802e-05,             9.9802e-05,             9.9802e-05
                      4,                 1.4012,                 2.2835,                 1.3116,                 0.7347,                0.80952,                 0.8574,                0.63758,                0.90346,                 2.4899,                0.96397,             0.00013958,             0.00013958,             0.00013958
                      5,                0.93246,                 1.0111,                 1.0214,                0.81417,                0.86905,                0.89973,                0.63005,                 1.0474,                 1.3234,                0.97978,             0.00017929,             0.00017929,             0.00017929
                      6,                0.85081,                0.62193,                0.94698,                0.92453,                0.58333,                0.80777,                0.64468,                 0.7701,                 1.6167,                0.92157,             0.00021891,             0.00021891,             0.00021891
                      7,                 0.8506,                0.57264,                0.93846,                0.24577,                0.89286,                0.28755,                 0.1979,                 1.0646,                 5.6633,                 1.0401,             0.00025846,             0.00025846,             0.00025846
                      8,                 0.8663,                0.53905,                0.96224,                0.28916,                0.57143,                0.43306,                0.30519,                 1.1188,                 6.2619,                  1.048,             0.00029792,             0.00029792,             0.00029792
                      9,                0.84183,                0.52361,                0.93672,                0.20126,                0.82143,                0.21059,                0.15607,                0.94829,                 11.335,                0.98737,             0.00033731,             0.00033731,             0.00033731
                     10,                0.91529,                0.62997,                0.97819,                0.52381,                0.52381,                0.47574,                0.36651,                 0.8373,                 3.4079,                0.95674,             0.00037661,             0.00037661,             0.00037661
                     11,                0.99777,                0.62995,                 1.0133,                0.79144,                0.79762,                 0.8626,                0.67208,                0.83674,                 1.1633,                0.96089,             0.00041584,             0.00041584,             0.00041584
                     12,                0.95713,                0.59505,                 1.0129,                0.80061,                0.65476,                0.78753,                0.62327,                0.81094,                 1.0259,                0.95827,             0.00045499,             0.00045499,             0.00045499
                     13,                0.76254,                0.59637,                0.95584,                   0.75,                    0.5,                0.64334,                0.48713,                0.93517,                 2.1909,                 1.0007,             0.00049406,             0.00049406,             0.00049406
                     14,                0.85539,                0.62037,                0.99039,                0.82756,                0.79762,                0.89023,                 0.6202,                 1.0953,                 1.5527,                 1.0884,             0.00053305,             0.00053305,             0.00053305
                     15,                0.80618,                0.52781,                0.96117,                 0.8176,                0.83333,                0.88453,                0.61189,                  1.095,                 1.7809,                 1.1092,             0.00057196,             0.00057196,             0.00057196
                     16,                 0.7482,                0.53212,                0.94879,                 0.7897,                0.84941,                 0.8691,                0.63165,                0.97796,                 1.4843,                 1.0489,             0.00061079,             0.00061079,             0.00061079
                     17,                 0.7597,                 0.5254,                 0.9451,                0.61111,                0.52381,                0.54239,                0.42893,                0.78755,                 2.9966,                0.94058,             0.00064955,             0.00064955,             0.00064955
                     18,                0.77752,                0.51665,                0.94113,                0.60345,                0.41667,                0.45564,                0.35328,                 0.8468,                 2.9686,                0.99921,             0.00068822,             0.00068822,             0.00068822
                     19,                0.82298,                0.51682,                0.96565,                0.67347,                0.39286,                0.52564,                0.42478,                0.79329,                 3.3309,                0.94976,             0.00072681,             0.00072681,             0.00072681
                     20,                0.72067,                0.47313,                0.92111,                0.49206,                0.36905,                0.51361,                0.38529,                 1.0127,                 4.4287,                 1.0364,             0.00076533,             0.00076533,             0.00076533
                     21,                0.81431,                0.57105,                0.96189,                0.03419,                0.35714,                0.03075,                0.02187,                 1.5642,                 27.489,                 1.6112,             0.00080376,             0.00080376,             0.00080376
                     22,                0.81741,                0.51398,                0.91975,                0.07089,                0.42857,                0.04793,                0.03567,                 1.3566,                  12.22,                 1.5697,             0.00084212,             0.00084212,             0.00084212
                     23,                0.80716,                0.55151,                 0.9369,                0.13047,                0.35714,                0.07135,                0.05336,                 1.4044,                 7.2353,                 2.0469,              0.0008804,              0.0008804,              0.0008804
                     24,                0.82317,                0.54875,                 0.9506,                0.11357,                0.33403,                0.06182,                 0.0433,                 1.4761,                 8.2172,                 1.3931,              0.0009186,              0.0009186,              0.0009186
                     25,                0.83028,                0.65434,                0.97459,                0.03146,                0.36905,                0.01978,                0.01375,                 1.5242,                 24.303,                 1.4691,             0.00095672,             0.00095672,             0.00095672
                     26,                0.76881,                0.62965,                0.93621,                0.02567,                0.35714,                0.03388,                0.02496,                 1.6855,                  83.59,                 1.9284,             0.00099475,             0.00099475,             0.00099475
                     27,                0.75407,                0.54051,                0.94071,                0.09036,                0.53571,                0.06051,                0.04032,                  1.351,                 31.476,                 1.2516,              0.0010327,              0.0010327,              0.0010327
                     28,                0.72174,                0.53718,                0.93011,                0.09036,                0.53571,                0.06051,                0.04032,                  1.351,                 31.476,                 1.2516,              0.0010706,              0.0010706,              0.0010706
